If no timezone is supplied, assume UTC, otherwise UTC+/-xx:yy.
date_A;date_B;date_C
27.02.23 01:00:00+01:00;01:00:00 03.08-2023;02:00 17/03-2023
27.02.23 22:42:00+01:00;22:42:00 03.08-2023;23:42 17/03-2023
28.02.23 20:24:00+01:00;20:24:00 03.09-2023;21:24 18/03-2023
01.03.23 18:06:00+01:00;18:06:00 03.10-2023;19:06 19/03-2023
02.03.23 15:48:00+01:00;15:48:00 03.11-2023;16:48 20/03-2023
03.03.23 13:30:00+01:00;13:30:00 03.12-2023;14:30 21/03-2023
04.03.23 11:12:00+01:00;11:12:00 03.13-2023;12:12 22/03-2023
05.03.23 08:54:00+01:00;08:54:00 03.14-2023;09:54 23/03-2023
06.03.23 06:36:00+01:00;06:36:00 03.15-2023;07:36 24/03-2023
07.03.23 04:18:00+01:00;04:18:00 03.16-2023;05:18 25/03-2023
